episode,return,length,risk_threshold
284,-54.27660176005668,21,-54.40342147911494
285,-54.21018499317637,21,-54.40342147911494
286,-54.27908699338317,21,-54.40342147911494
287,-54.19664648203281,21,-54.40342147911494
288,-54.47211751040851,21,-54.40366699647457
289,-54.332085773240905,21,-54.40366699647457
290,-54.472320315953084,21,-54.41357761329026
291,-54.40364297506596,21,-54.41357761329026
292,-54.49657687698715,21,-54.46968027339227
293,-54.20756059287704,21,-54.46968027339227
294,-54.07270676447895,21,-54.46968027339227
295,-54.41934659572051,21,-54.46968027339227
296,-54.15706803700472,21,-54.46968027339227
297,-54.06353751347636,21,-54.46968027339227
298,-54.40329265513756,21,-54.46968027339227
299,-140.63011719615332,21,-54.47211751040851
300,-140.74349748517898,21,-54.472320315953084
301,-141.08755768612997,21,-54.49295297467015
302,-140.3990136371823,21,-54.49657687698715
303,-141.10140123182296,21,-54.54813001329768
304,-140.4677198876013,21,-140.3990136371823
305,-141.01369615838016,21,-140.4677198876013
306,-140.8523826024162,21,-140.63011719615332
307,-140.60561269734495,21,-140.63011719615332
308,-140.46828970465685,21,-140.63011719615332
309,-140.60573773471907,21,-140.63011719615332
310,-141.05817357543617,21,-140.74349748517898
311,-140.81251286748767,21,-140.81251286748767
312,-140.81305350517187,21,-140.81305350517187
313,-140.94958324837387,21,-140.8523826024162
314,-140.68850797655068,21,-140.8523826024162
315,-141.05848840877334,21,-140.94958324837387
316,-140.9966954404763,21,-140.9966954404763
317,-140.8813960585214,21,-140.9966954404763
318,-142.12009170238804,21,-141.01369615838016
319,-141.41329975891693,21,-141.05817357543617
320,-141.4612972399394,21,-141.05848840877334
321,-142.08643286814316,21,-141.08755768612997
322,-140.9823944877682,21,-141.08755768612997
323,-141.19571115318303,21,-141.10140123182296
324,-140.84654117789643,21,-141.10140123182296
325,-140.79169255155023,21,-141.10140123182296
326,-140.85805374070986,21,-141.10140123182296
327,-140.6559338766022,21,-141.10140123182296
328,-141.23433772071775,21,-141.19571115318303
329,-140.96335289221867,21,-141.19571115318303
330,-140.7115220035799,21,-141.19571115318303
331,-140.8188452831439,21,-141.19571115318303
332,-141.07253475458026,21,-141.19571115318303
333,-142.9034501247415,21,-141.23433772071775
334,-142.04281250766928,21,-141.41329975891693
335,-141.64782135099733,21,-141.4612972399394
336,-141.05378391623384,21,-141.4612972399394
337,-141.3255459791713,21,-141.4612972399394
338,-141.91687351471955,21,-141.64782135099733
339,-142.02663408640944,21,-141.91687351471955
340,-140.699078793894,21,-141.91687351471955
341,-141.0281168156664,21,-141.91687351471955
342,-141.34291071703532,21,-141.91687351471955
343,-140.8799828856607,21,-141.91687351471955
344,-140.9440981808968,21,-141.91687351471955
345,-140.93899565420892,21,-141.91687351471955
346,-140.8781453872503,21,-141.91687351471955
347,-140.52092966712578,21,-141.91687351471955
348,-140.87840320576018,21,-141.91687351471955
349,-140.93739124812882,21,-141.91687351471955
350,-140.66372080298055,21,-141.91687351471955
351,-140.78251288154675,21,-141.91687351471955
352,-141.07467201655516,21,-141.91687351471955
353,-140.52079753008888,21,-141.91687351471955
354,-141.0773499269921,21,-141.91687351471955
355,-140.72944992245107,21,-141.91687351471955
356,-140.8674622486223,21,-141.91687351471955
357,-140.79902837557412,21,-141.91687351471955
358,-140.72997240016292,21,-141.91687351471955
359,-140.82883764099216,21,-141.91687351471955
360,-140.66360571484154,21,-141.91687351471955
361,-140.73064554137858,21,-141.91687351471955
362,-140.5719519819637,21,-141.91687351471955
363,-140.72761057743367,21,-141.91687351471955
364,-140.7435545565003,21,-141.91687351471955
365,-141.14421819148788,21,-141.91687351471955
366,-141.00602241158225,21,-141.91687351471955
367,-140.60713149414136,21,-141.91687351471955
368,-141.07422614410768,21,-141.91687351471955
369,-140.4673326991657,21,-141.91687351471955
370,-140.65614044740317,21,-141.91687351471955
371,-140.93662437052058,21,-141.91687351471955
372,-140.89006885930138,21,-141.91687351471955
373,-140.7251260143401,21,-141.91687351471955
374,-140.9490108994992,21,-141.91687351471955
375,-140.6219201303586,21,-141.91687351471955
376,-140.39949529992327,21,-141.91687351471955
377,-140.77624445261048,21,-141.91687351471955
378,-140.60554496300188,21,-141.91687351471955
379,-141.00327718571893,21,-141.91687351471955
380,-140.74363005379888,21,-141.91687351471955
381,-141.43278732938114,21,-141.91687351471955
382,-140.87879626880064,21,-141.91687351471955
383,-140.74091030586345,21,-141.91687351471955
384,-140.54968393241558,21,-141.91687351471955
385,-140.67010516783796,21,-141.91687351471955
386,-140.7464965006634,21,-141.91687351471955
387,-141.03732535231845,21,-141.91687351471955
388,-141.15392526156228,21,-141.91687351471955
389,-140.58686292394117,21,-141.91687351471955
390,-140.59019219619546,21,-141.91687351471955
391,-140.65845607891302,21,-141.91687351471955
392,-140.67455830735707,21,-141.91687351471955
393,-140.4717137922783,21,-141.91687351471955
394,-141.99982812676893,21,-141.99982812676893
395,-140.80682238615069,21,-141.99982812676893
396,-141.52006394157036,21,-141.99982812676893
397,-140.9978504991053,21,-141.99982812676893
398,-141.7181911022226,21,-141.99982812676893
399,-141.18128298597316,21,-141.99982812676893
400,-140.42807948160618,21,-141.99982812676893
401,-141.06654629027014,21,-141.99982812676893
402,-141.0465742808563,21,-141.99982812676893
403,-140.66380291864945,21,-141.99982812676893
404,-141.0026111438613,21,-141.99982812676893
405,-140.66320462696427,21,-141.99982812676893
406,-140.6719024989726,21,-141.99982812676893
407,-140.45738531242955,21,-141.99982812676893
408,-140.59248669258466,21,-141.99982812676893
409,-140.86777752436026,21,-141.99982812676893
410,-140.46956471695535,21,-141.99982812676893
411,-141.14231026195634,21,-141.99982812676893
412,-140.59222267690237,21,-141.99982812676893
413,-141.00608572042984,21,-141.99982812676893
414,-140.73030953215755,21,-141.99982812676893
415,-140.86805472838407,21,-141.99982812676893
416,-140.8649683401929,21,-141.99982812676893
417,-140.73281635444732,21,-141.99982812676893
418,-140.73059780517303,21,-141.99982812676893
419,-141.0856407238844,21,-141.91687351471955
420,-140.5925970862586,21,-141.91687351471955
421,-140.87021257900355,21,-141.91687351471955
422,-140.93666133059546,21,-141.7181911022226
423,-140.66130217126437,21,-141.7181911022226
424,-140.66168402706546,21,-141.7181911022226
425,-140.3172017052682,21,-141.7181911022226
426,-140.73240603887612,21,-141.7181911022226
427,-140.6612724315374,21,-141.7181911022226
428,-141.01585028285012,21,-141.7181911022226
429,-141.14620688693685,21,-141.7181911022226
430,-140.73278342011682,21,-141.7181911022226
431,-141.008574959832,21,-141.7181911022226
432,-140.732943686788,21,-141.7181911022226
433,-140.52386495754803,21,-141.7181911022226
434,-140.86784337338247,21,-141.64782135099733
435,-140.86732550445544,21,-141.52006394157036
436,-140.8676110488515,21,-141.43278732938114
437,-141.0207336831782,21,-141.43278732938114
438,-141.0057760642681,21,-141.43278732938114
439,-140.72976064227942,21,-141.34291071703532
440,-140.937051598137,21,-141.18128298597316
441,-140.52302936027962,21,-141.18128298597316
442,-140.9385276782612,21,-141.18128298597316
443,-141.00831572843327,21,-141.15392526156228
444,-140.31711556890446,21,-141.15392526156228
445,-140.66995665934317,21,-141.15392526156228
446,-140.8777409698655,21,-141.15392526156228
447,-140.87904599766915,21,-141.15392526156228
448,-140.7408576024979,21,-141.15392526156228
449,-141.2226136573819,21,-141.18128298597316
450,-140.8098465155516,21,-141.18128298597316
451,-140.87864374112613,21,-141.18128298597316
452,-141.0166752173697,21,-141.18128298597316
453,-141.0159507057099,21,-141.18128298597316
454,-140.5234752930734,21,-141.18128298597316
455,-141.007816712544,21,-141.18128298597316
456,-140.73303376698084,21,-141.18128298597316
457,-141.0135629309769,21,-141.18128298597316
458,-140.93869325627182,21,-141.18128298597316
459,-141.01603219027817,21,-141.18128298597316
460,-141.0829883282269,21,-141.18128298597316
461,-141.08527922121945,21,-141.18128298597316
462,-140.7410059380205,21,-141.18128298597316
463,-141.29216227359095,21,-141.2226136573819
464,-140.5948194395239,21,-141.2226136573819
465,-140.87924227895297,21,-141.2226136573819
466,-140.67235769846184,21,-141.2226136573819
467,-140.87843481388393,21,-141.2226136573819
468,-141.00809699923587,21,-141.2226136573819
469,-140.93915446706478,21,-141.2226136573819
470,-140.93653000822758,21,-141.2226136573819
471,-140.73242884528926,21,-141.2226136573819
472,-141.01569819523274,21,-141.2226136573819
473,-140.46547324565103,21,-141.2226136573819
474,-140.74073062858238,21,-141.2226136573819
475,-140.6723699661735,21,-141.2226136573819
476,-140.67203415983954,21,-141.2226136573819
477,-140.7328362443692,21,-141.2226136573819
478,-140.73290780875215,21,-141.2226136573819
479,-140.52312367394674,21,-141.2226136573819
480,-140.73080632654018,21,-141.2226136573819
481,-141.0051660857995,21,-141.2226136573819
482,-141.00544626594228,21,-141.18128298597316
483,-140.52344736195093,21,-141.18128298597316
484,-140.93925692831277,21,-141.18128298597316
485,-141.00552941739804,21,-141.18128298597316
486,-140.94485567141857,21,-141.18128298597316
487,-140.45472103342777,21,-141.18128298597316
488,-140.74099820879735,21,-141.18128298597316
489,-140.66428094690832,21,-141.18128298597316
490,-141.4208320383189,21,-141.2226136573819
491,-141.1536736415098,21,-141.2226136573819
492,-140.80170878821065,21,-141.2226136573819
493,-140.66124356679384,21,-141.2226136573819
494,-140.49917239232548,21,-141.2226136573819
495,-140.81382575078217,21,-141.18128298597316
496,-140.79858750325536,21,-141.18128298597316
497,-140.9397095465216,21,-141.1536736415098
498,-140.72978347196897,21,-141.1536736415098
499,-141.00585041567805,21,-141.14620688693685
500,-140.73277970168584,21,-141.14231026195634
501,-141.00774030385122,21,-141.14231026195634
502,-140.86780294557303,21,-141.14231026195634
503,-140.81311605678331,21,-141.14231026195634
504,-140.521842032723,21,-141.14231026195634
505,-140.86771917925682,21,-141.14231026195634
506,-140.52427563066914,21,-141.14231026195634
507,-140.8684413530523,21,-141.14231026195634
508,-140.86717774951126,21,-141.14231026195634
509,-140.5931477613317,21,-141.14231026195634
510,-140.59522681303582,21,-141.14231026195634
511,-141.28113779557813,21,-141.14620688693685
512,-141.14506263566216,21,-141.14620688693685
513,-140.8540208434593,21,-141.14620688693685
514,-140.81003729075994,21,-141.14620688693685
515,-141.08561768663702,21,-141.14620688693685
516,-140.9468946080607,21,-141.14620688693685
517,-140.73250305930748,21,-141.14620688693685
518,-141.29439993827637,21,-141.1536736415098
519,-141.22275483446347,21,-141.2226136573819
520,-141.08482776416585,21,-141.2226136573819
521,-140.94797607591025,21,-141.2226136573819
522,-140.87036484871993,21,-141.2226136573819
523,-140.60292338760416,21,-141.2226136573819
524,-140.80154243095848,21,-141.2226136573819
525,-140.79913724119723,21,-141.2226136573819
526,-140.5919358831074,21,-141.2226136573819
527,-140.93599553443795,21,-141.2226136573819
528,-140.81598350268183,21,-141.2226136573819
529,-141.00860508228823,21,-141.2226136573819
530,-140.87019885559232,21,-141.2226136573819
531,-140.87026397175566,21,-141.2226136573819
532,-140.86855665586685,21,-141.2226136573819
533,-141.0746743117005,21,-141.2226136573819
534,-141.0852365857382,21,-141.2226136573819
535,-140.66088745684084,21,-141.2226136573819
536,-140.6637825623264,21,-141.2226136573819
537,-140.74147777206775,21,-141.2226136573819
538,-141.1516637134844,21,-141.2226136573819
539,-140.80122625141559,21,-141.2226136573819
540,-140.67151464504846,21,-141.2226136573819
541,-140.67237248791793,21,-141.2226136573819
542,-140.6032863492406,21,-141.2226136573819
543,-140.59380700970212,21,-141.2226136573819
544,-140.80062219975494,21,-141.2226136573819
545,-140.45778735715987,21,-141.2226136573819
546,-140.72973236015898,21,-141.2226136573819
547,-140.59508342156636,21,-141.2226136573819
548,-141.0055486174513,21,-141.2226136573819
549,-140.79970340180137,21,-141.2226136573819
550,-140.66136486135107,21,-141.1536736415098
551,-141.00509301680506,21,-141.1536736415098
552,-140.79920380567648,21,-141.1536736415098
553,-141.0746856311211,21,-141.1536736415098
554,-140.66190454966346,21,-141.1536736415098
555,-140.93745865549562,21,-141.1536736415098
556,-141.02754981490557,21,-141.1536736415098
557,-141.0057364178917,21,-141.1536736415098
558,-140.73143899934968,21,-141.1536736415098
559,-141.00885736887233,21,-141.1536736415098
560,-140.45545548559477,21,-141.1536736415098
561,-140.8682446516283,21,-141.1536736415098
562,-140.86737009020015,21,-141.1536736415098
563,-140.73040335428482,21,-141.1536736415098
564,-141.1511613292863,21,-141.1516637134844
565,-140.800745670978,21,-141.1516637134844
566,-141.14600588580794,21,-141.1516637134844
567,-140.5238553649608,21,-141.1516637134844
568,-140.93925200426125,21,-141.1516637134844
569,-140.59235788558362,21,-141.1516637134844
570,-141.08974843971345,21,-141.1516637134844
571,-140.8681688465815,21,-141.1516637134844
572,-140.59215416972336,21,-141.1516637134844
573,-140.7304949598822,21,-141.1516637134844
574,-140.59298992151307,21,-141.1516637134844
575,-140.52348217864596,21,-141.1516637134844
576,-140.47595307594105,21,-141.1516637134844
577,-141.00559255387145,21,-141.1516637134844
578,-140.66386991502708,21,-141.1516637134844
579,-140.59253786593882,21,-141.1516637134844
580,-140.87865992910463,21,-141.1516637134844
581,-140.6719162314534,21,-141.1516637134844
582,-140.80958643202322,21,-141.1516637134844
583,-140.66273054189026,21,-141.1516637134844
584,-140.87778708777287,21,-141.1516637134844
585,-141.0079393586003,21,-141.1516637134844
586,-141.0051711067452,21,-141.1516637134844
587,-140.31751935103077,21,-141.1516637134844
588,-141.12791464897643,21,-141.1516637134844
589,-140.9614107803232,21,-141.1516637134844
590,-140.8785081088572,21,-141.1516637134844
591,-140.87050816202753,21,-141.1511613292863
592,-140.4577463793173,21,-141.14600588580794
593,-140.7302257092872,21,-141.14600588580794
594,-141.00565557382149,21,-141.14600588580794
