episode,env_steps,elapsed_time_s,steps_per_s,episode_return,rolling20_return,avg_loss
536,233037,382.11,609.87,275.25,233.72,1.0037
537,233394,382.70,609.87,239.06,232.86,1.0791
538,233830,383.41,609.87,246.45,234.86,0.8678
539,234213,384.04,609.87,245.03,242.80,1.0214
540,234824,385.03,609.88,238.96,248.42,1.0406
541,235282,385.80,609.86,248.44,247.52,1.0047
542,235557,386.25,609.86,252.84,249.91,1.1125
543,235916,386.82,609.88,286.55,251.48,0.8814
544,236131,387.17,609.89,275.09,250.59,0.9819
545,236376,387.58,609.88,276.41,250.64,1.0216
546,236985,388.56,609.91,239.53,249.93,0.9198
547,237354,389.16,609.91,297.54,251.09,0.9113
548,237693,389.74,609.88,246.95,251.19,0.8314
549,238149,390.49,609.87,259.51,250.81,0.9937
550,238591,391.21,609.88,281.53,253.30,0.9202
551,239007,391.89,609.88,278.46,254.27,0.9384
552,239554,392.88,609.74,240.00,260.54,0.9451
553,239863,393.41,609.70,263.64,260.46,1.0072
554,240570,394.61,609.64,232.27,260.18,0.8889
555,240750,394.90,609.64,272.23,259.79,1.0504
556,241101,395.51,609.60,229.32,257.49,0.9430
557,241386,395.97,609.61,272.93,259.18,1.0795
558,241757,396.58,609.61,230.41,258.38,0.9712
559,241993,396.96,609.62,260.37,259.15,0.8233
560,242376,397.56,609.67,214.76,257.94,0.9296
561,242811,398.28,609.65,264.83,258.76,0.7890
562,243095,398.73,609.67,270.00,259.62,0.9069
563,243548,399.49,609.65,260.65,258.32,0.9524
564,243947,400.16,609.63,291.32,259.13,0.7696
565,244232,400.61,609.65,248.42,257.74,0.9979
566,244501,401.04,609.66,249.35,258.23,0.8674
567,244826,401.59,609.64,276.46,257.17,1.0042
568,245259,402.31,609.63,233.18,256.48,0.9894
569,245549,402.79,609.62,215.36,254.28,1.0777
570,245909,403.39,609.60,233.37,251.87,0.8198
571,246401,404.18,609.63,253.29,250.61,0.9141
572,246658,404.62,609.60,280.39,252.63,0.8275
573,246981,405.15,609.61,254.50,252.17,0.9545
574,247247,405.58,609.62,267.91,253.95,0.7534
575,247765,406.48,609.54,221.49,251.42,0.9542
576,248125,407.10,609.50,268.58,253.38,0.9128
577,248453,407.65,609.47,255.44,252.50,0.8906
578,248768,408.19,609.45,258.08,253.89,0.8717
579,249065,408.67,609.45,248.91,253.32,0.9133
580,249681,409.72,609.39,226.97,253.93,0.9319
581,250278,410.69,609.41,205.45,250.96,0.7576
582,250752,411.45,609.44,258.60,250.39,0.8633
583,251134,412.07,609.44,271.97,250.95,0.9419
584,251453,412.62,609.41,246.90,248.73,0.7485
585,251744,413.09,609.42,279.81,250.30,0.8223
586,252018,413.55,609.41,234.88,249.58,0.8930
587,252452,414.31,609.33,261.87,248.85,0.8924
